Date,Zone_ID,Zone_Name,System_Input_m3,Billed_Authorized_Consumption_m3,Unbilled_Authorized_Consumption_m3,Apparent_Loss_m3,Real_Loss_m3,NRW_Volume_m3,NRW_Percentage,Data_Reliability_pct,Status
2026-05-27,DMA-01,Sonia Vihar North,21672.94,18034.42,742.47,797.8,2098.25,3638.52,16.79,96.9,Normal
2026-05-27,DMA-02,Sonia Vihar Central,22387.58,17521.72,748.82,813.89,3303.15,4865.86,21.73,96.1,Normal
2026-05-27,DMA-03,Bhagirathi Corridor,18356.81,13884.39,607.88,644.13,3220.41,4472.43,24.36,96.3,Normal
2026-05-27,DMA-04,Yamuna Bank Pocket,15989.55,12988.91,559.21,536.25,1905.18,3000.63,18.77,96.7,Normal
2026-05-27,DMA-05,Wazirabad Link,17120.49,13670.8,589.21,606.04,2254.44,3449.69,20.15,97.8,Normal
2026-05-27,DMA-06,Sangam Extension,16912.4,13963.0,548.49,595.58,1805.33,2949.4,17.44,98.5,Normal
2026-05-28,DMA-01,Sonia Vihar North,20595.47,16749.14,708.68,689.92,2447.73,3846.33,18.68,96.7,Normal
2026-05-28,DMA-02,Sonia Vihar Central,21834.68,17350.36,783.32,767.48,2933.51,4484.31,20.54,98.1,Normal
2026-05-28,DMA-03,Bhagirathi Corridor,19294.41,14980.77,679.63,656.96,2977.05,4313.64,22.36,94.1,Normal
2026-05-28,DMA-04,Yamuna Bank Pocket,15422.44,12101.91,540.53,561.7,2218.29,3320.52,21.53,98.0,Normal
2026-05-28,DMA-05,Wazirabad Link,17636.76,13449.3,571.81,656.96,2958.69,4187.47,23.74,94.4,Normal
2026-05-28,DMA-06,Sangam Extension,16604.68,13742.58,571.43,586.87,1703.81,2862.1,17.24,99.4,Normal
2026-05-29,DMA-01,Sonia Vihar North,19994.95,16297.13,739.13,669.09,2289.6,3697.82,18.49,98.1,Normal
2026-05-29,DMA-02,Sonia Vihar Central,22294.94,17020.86,784.82,783.81,3705.46,5274.08,23.66,97.3,Normal
2026-05-29,DMA-03,Bhagirathi Corridor,19044.02,14602.38,666.69,704.66,3070.28,4441.63,23.32,96.5,Normal
2026-05-29,DMA-04,Yamuna Bank Pocket,15713.27,12405.82,493.32,528.45,2285.68,3307.45,21.05,97.1,Normal
2026-05-29,DMA-05,Wazirabad Link,16586.5,12764.48,630.57,572.24,2619.21,3822.02,23.04,97.6,Normal
2026-05-29,DMA-06,Sangam Extension,15966.33,12978.64,530.43,588.5,1868.76,2987.7,18.71,96.6,Normal
2026-05-30,DMA-01,Sonia Vihar North,21485.5,17430.28,779.95,804.86,2470.42,4055.23,18.87,99.9,Normal
2026-05-30,DMA-02,Sonia Vihar Central,23817.38,18542.59,755.42,888.64,3630.73,5274.79,22.15,94.6,Normal
2026-05-30,DMA-03,Bhagirathi Corridor,19620.59,15139.02,744.49,655.87,3081.21,4481.56,22.84,97.2,Normal
2026-05-30,DMA-04,Yamuna Bank Pocket,16330.01,12921.53,607.09,587.84,2213.55,3408.48,20.87,95.5,Normal
2026-05-30,DMA-05,Wazirabad Link,18053.74,14001.98,645.61,692.13,2714.02,4051.76,22.44,97.4,Normal
2026-05-30,DMA-06,Sangam Extension,17016.08,14102.81,607.55,543.98,1761.73,2913.26,17.12,98.4,Normal
2026-05-31,DMA-01,Sonia Vihar North,21509.98,17605.42,737.46,750.3,2416.81,3904.56,18.15,95.8,Normal
2026-05-31,DMA-02,Sonia Vihar Central,22481.78,17902.23,757.5,795.71,3026.34,4579.55,20.37,96.7,Normal
2026-05-31,DMA-03,Bhagirathi Corridor,20291.16,15531.06,749.35,737.2,3273.56,4760.1,23.46,99.3,Normal
2026-05-31,DMA-04,Yamuna Bank Pocket,15739.11,12868.3,529.11,520.84,1820.86,2870.81,18.24,95.4,Normal
2026-05-31,DMA-05,Wazirabad Link,17956.28,14095.0,671.95,568.53,2620.8,3861.28,21.5,97.4,Normal
2026-05-31,DMA-06,Sangam Extension,16714.14,13611.64,568.79,587.75,1945.96,3102.5,18.56,96.1,Normal
2026-06-01,DMA-01,Sonia Vihar North,19770.32,16111.22,712.01,705.78,2241.3,3659.09,18.51,96.3,Normal
2026-06-01,DMA-02,Sonia Vihar Central,22218.86,17349.65,786.43,811.33,3271.46,4869.21,21.91,96.0,Normal
2026-06-01,DMA-03,Bhagirathi Corridor,18483.44,14166.49,728.7,669.04,2919.2,4316.95,23.36,96.8,Normal
2026-06-01,DMA-04,Yamuna Bank Pocket,15193.63,12348.53,510.04,526.27,1808.79,2845.1,18.73,96.5,Normal
2026-06-01,DMA-05,Wazirabad Link,17241.69,13256.67,632.22,616.66,2736.12,3985.01,23.11,96.6,Normal
2026-06-01,DMA-06,Sangam Extension,16221.84,13395.52,571.15,545.6,1709.57,2826.32,17.42,95.6,Normal
2026-06-02,DMA-01,Sonia Vihar North,20283.79,16792.88,764.45,716.43,2010.03,3490.91,17.21,98.1,Normal
2026-06-02,DMA-02,Sonia Vihar Central,22774.33,18078.64,815.38,781.43,3098.87,4695.69,20.62,96.0,Normal
2026-06-02,DMA-03,Bhagirathi Corridor,18272.48,13847.63,648.02,628.39,3148.45,4424.86,24.22,96.9,Normal
