Date,Sensor_ID,Asset_ID,Network_Element_ID,Zone_ID,Parameter,Unit,Avg_Value,Min_Value,Max_Value,Warning_Count,Critical_Count,Status,Latitude,Longitude
2026-05-27,QT-001,WQS-001,WQS-001,DMA-01,Chlorine,mg/L,0.554,0.467,0.644,0,0,Normal,28.738,77.255
2026-05-27,QT-001,WQS-001,WQS-001,DMA-01,Conductivity,uS/cm,684.4,620.4,760.5,0,0,Normal,28.738,77.255
2026-05-27,QT-001,WQS-001,WQS-001,DMA-01,Temperature,C,28.046,26.4,30.1,0,0,Normal,28.738,77.255
2026-05-27,QT-001,WQS-001,WQS-001,DMA-01,Turbidity,NTU,0.897,0.69,1.21,0,0,Normal,28.738,77.255
2026-05-27,QT-001,WQS-001,WQS-001,DMA-01,pH,pH,7.31,7.07,7.46,0,0,Normal,28.738,77.255
2026-05-27,QT-002,WQS-002,WQS-002,DMA-02,Chlorine,mg/L,0.552,0.467,0.64,0,0,Normal,28.726,77.253
2026-05-27,QT-002,WQS-002,WQS-002,DMA-02,Conductivity,uS/cm,671.433,612.8,733.3,0,0,Normal,28.726,77.253
2026-05-27,QT-002,WQS-002,WQS-002,DMA-02,Temperature,C,28.088,26.3,30.1,0,0,Normal,28.726,77.253
2026-05-27,QT-002,WQS-002,WQS-002,DMA-02,Turbidity,NTU,0.922,0.64,1.26,0,0,Normal,28.726,77.253
2026-05-27,QT-002,WQS-002,WQS-002,DMA-02,pH,pH,7.274,7.15,7.41,0,0,Normal,28.726,77.253
2026-05-27,QT-003,WQS-003,WQS-003,DMA-03,Chlorine,mg/L,0.554,0.475,0.644,0,0,Normal,28.717,77.269
2026-05-27,QT-003,WQS-003,WQS-003,DMA-03,Conductivity,uS/cm,673.988,566.6,732.5,0,0,Normal,28.717,77.269
2026-05-27,QT-003,WQS-003,WQS-003,DMA-03,Temperature,C,28.025,26.3,29.6,0,0,Normal,28.717,77.269
2026-05-27,QT-003,WQS-003,WQS-003,DMA-03,Turbidity,NTU,0.911,0.62,1.15,0,0,Normal,28.717,77.269
2026-05-27,QT-003,WQS-003,WQS-003,DMA-03,pH,pH,7.28,7.12,7.45,0,0,Normal,28.717,77.269
2026-05-27,QT-004,WQS-004,WQS-004,DMA-04,Chlorine,mg/L,0.555,0.478,0.654,0,0,Normal,28.705,77.24
2026-05-27,QT-004,WQS-004,WQS-004,DMA-04,Conductivity,uS/cm,688.004,645.3,770.1,0,0,Normal,28.705,77.24
2026-05-27,QT-004,WQS-004,WQS-004,DMA-04,Temperature,C,27.971,26.3,29.8,0,0,Normal,28.705,77.24
2026-05-27,QT-004,WQS-004,WQS-004,DMA-04,Turbidity,NTU,0.917,0.67,1.25,0,0,Normal,28.705,77.24
2026-05-27,QT-004,WQS-004,WQS-004,DMA-04,pH,pH,7.309,7.15,7.48,0,0,Normal,28.705,77.24
2026-05-27,QT-005,WQS-005,WQS-005,DMA-05,Chlorine,mg/L,0.563,0.489,0.686,0,0,Normal,28.712,77.245
2026-05-27,QT-005,WQS-005,WQS-005,DMA-05,Conductivity,uS/cm,682.396,608.7,765.6,0,0,Normal,28.712,77.245
