Timestamp,Scenario_ID,Zone_ID,Network_Element_ID,Parameter,Actual_Value,Predicted_Value,Deviation,Unit,Simulation_Source,Status,Recommendation
2026-05-27 00:00:00,SCN-BASELINE,DMA-01,PIPE-001,Pressure,33.11,32.19,0.92,mH2O,Dymola_FMU_SYNTHETIC,Normal,No action
2026-05-27 00:00:00,SCN-BASELINE,DMA-01,PIPE-011,Flow,692.97,675.98,16.98,m3/hr,Dymola_FMU_SYNTHETIC,Normal,No action
2026-05-27 00:00:00,SCN-BASELINE,DMA-02,PIPE-002,Pressure,29.51,29.37,0.15,mH2O,Dymola_FMU_SYNTHETIC,Normal,No action
2026-05-27 00:00:00,SCN-BASELINE,DMA-02,PIPE-012,Flow,823.88,815.65,8.23,m3/hr,Dymola_FMU_SYNTHETIC,Normal,No action
2026-05-27 00:00:00,SCN-BASELINE,DMA-03,PIPE-003,Pressure,26.8,27.38,-0.58,mH2O,Dymola_FMU_SYNTHETIC,Normal,No action
2026-05-27 00:00:00,SCN-BASELINE,DMA-03,PIPE-013,Flow,593.35,626.41,-33.06,m3/hr,Dymola_FMU_SYNTHETIC,Normal,No action
2026-05-27 00:00:00,SCN-BASELINE,DMA-04,PIPE-004,Pressure,24.37,24.61,-0.24,mH2O,Dymola_FMU_SYNTHETIC,Normal,No action
2026-05-27 00:00:00,SCN-BASELINE,DMA-04,PIPE-014,Flow,487.38,543.38,-56.0,m3/hr,Dymola_FMU_SYNTHETIC,Normal,No action
2026-05-27 00:00:00,SCN-BASELINE,DMA-05,PIPE-005,Pressure,29.41,30.2,-0.79,mH2O,Dymola_FMU_SYNTHETIC,Normal,No action
2026-05-27 00:00:00,SCN-BASELINE,DMA-05,PIPE-015,Flow,594.16,605.95,-11.79,m3/hr,Dymola_FMU_SYNTHETIC,Normal,No action
2026-05-27 00:00:00,SCN-BASELINE,DMA-06,PIPE-006,Pressure,31.1,31.69,-0.59,mH2O,Dymola_FMU_SYNTHETIC,Normal,No action
2026-05-27 00:00:00,SCN-BASELINE,DMA-06,PIPE-016,Flow,567.08,567.07,0.01,m3/hr,Dymola_FMU_SYNTHETIC,Normal,No action
2026-05-27 01:00:00,SCN-BASELINE,DMA-01,PIPE-001,Pressure,33.51,32.5,1.01,mH2O,Dymola_FMU_SYNTHETIC,Normal,No action
2026-05-27 01:00:00,SCN-BASELINE,DMA-01,PIPE-011,Flow,743.01,739.38,3.63,m3/hr,Dymola_FMU_SYNTHETIC,Normal,No action
2026-05-27 01:00:00,SCN-BASELINE,DMA-02,PIPE-002,Pressure,30.67,29.25,1.43,mH2O,Dymola_FMU_SYNTHETIC,Normal,No action
2026-05-27 01:00:00,SCN-BASELINE,DMA-02,PIPE-012,Flow,768.98,754.74,14.25,m3/hr,Dymola_FMU_SYNTHETIC,Normal,No action
2026-05-27 01:00:00,SCN-BASELINE,DMA-03,PIPE-003,Pressure,26.83,26.97,-0.14,mH2O,Dymola_FMU_SYNTHETIC,Normal,No action
2026-05-27 01:00:00,SCN-BASELINE,DMA-03,PIPE-013,Flow,649.94,629.94,20.01,m3/hr,Dymola_FMU_SYNTHETIC,Normal,No action
2026-05-27 01:00:00,SCN-BASELINE,DMA-04,PIPE-004,Pressure,23.93,25.15,-1.22,mH2O,Dymola_FMU_SYNTHETIC,Normal,No action
2026-05-27 01:00:00,SCN-BASELINE,DMA-04,PIPE-014,Flow,515.82,511.9,3.92,m3/hr,Dymola_FMU_SYNTHETIC,Normal,No action
2026-05-27 01:00:00,SCN-BASELINE,DMA-05,PIPE-005,Pressure,28.95,30.8,-1.85,mH2O,Dymola_FMU_SYNTHETIC,Normal,No action
2026-05-27 01:00:00,SCN-BASELINE,DMA-05,PIPE-015,Flow,571.16,589.38,-18.22,m3/hr,Dymola_FMU_SYNTHETIC,Normal,No action
2026-05-27 01:00:00,SCN-BASELINE,DMA-06,PIPE-006,Pressure,30.74,31.71,-0.96,mH2O,Dymola_FMU_SYNTHETIC,Normal,No action
2026-05-27 01:00:00,SCN-BASELINE,DMA-06,PIPE-016,Flow,523.24,561.31,-38.07,m3/hr,Dymola_FMU_SYNTHETIC,Normal,No action
2026-05-27 02:00:00,SCN-BASELINE,DMA-01,PIPE-001,Pressure,31.9,32.83,-0.93,mH2O,Dymola_FMU_SYNTHETIC,Normal,No action
2026-05-27 02:00:00,SCN-BASELINE,DMA-01,PIPE-011,Flow,742.38,740.74,1.65,m3/hr,Dymola_FMU_SYNTHETIC,Normal,No action
2026-05-27 02:00:00,SCN-BASELINE,DMA-02,PIPE-002,Pressure,29.39,28.79,0.61,mH2O,Dymola_FMU_SYNTHETIC,Normal,No action
2026-05-27 02:00:00,SCN-BASELINE,DMA-02,PIPE-012,Flow,851.32,800.12,51.2,m3/hr,Dymola_FMU_SYNTHETIC,Normal,No action
2026-05-27 02:00:00,SCN-BASELINE,DMA-03,PIPE-003,Pressure,28.17,27.51,0.66,mH2O,Dymola_FMU_SYNTHETIC,Normal,No action
2026-05-27 02:00:00,SCN-BASELINE,DMA-03,PIPE-013,Flow,573.97,675.31,-101.33,m3/hr,Dymola_FMU_SYNTHETIC,Warning,Check abnormal night flow/leak
2026-05-27 02:00:00,SCN-BASELINE,DMA-04,PIPE-004,Pressure,26.43,25.43,1.01,mH2O,Dymola_FMU_SYNTHETIC,Normal,No action
2026-05-27 02:00:00,SCN-BASELINE,DMA-04,PIPE-014,Flow,538.04,553.28,-15.24,m3/hr,Dymola_FMU_SYNTHETIC,Normal,No action
2026-05-27 02:00:00,SCN-BASELINE,DMA-05,PIPE-005,Pressure,29.84,29.88,-0.04,mH2O,Dymola_FMU_SYNTHETIC,Normal,No action
2026-05-27 02:00:00,SCN-BASELINE,DMA-05,PIPE-015,Flow,611.31,605.1,6.21,m3/hr,Dymola_FMU_SYNTHETIC,Normal,No action
2026-05-27 02:00:00,SCN-BASELINE,DMA-06,PIPE-006,Pressure,31.87,31.24,0.63,mH2O,Dymola_FMU_SYNTHETIC,Normal,No action
