Sensor_Tag,Asset_ID,Geospatial_Feature_ID,Network_Element_ID,Dymola_Component,FMU_Variable,Parameter,Unit,Zone_ID
PT-001,PIPE-001,GIS-PIPE-001,PIPE-001,pipe1,pipe1.pressure,Pressure,mH2O,DMA-01
FT-001,FM-001,GIS-FM-001,PIPE-011,pipe11,pipe11.flow,Flow,m3/hr,DMA-01
LT-001,RES-001,GIS-RES-001,RES-001,reservoir1,reservoir1.level,Reservoir_Level,m,DMA-01
PMP-001,PUMP-001,GIS-PUMP-001,PUMP-001,pump1,pump1.status,Pump_Status,status,DMA-01
VT-001,VALVE-001,GIS-VAL-001,VALVE-001,valve1,valve1.position,Valve_Status,status,DMA-01
QT-001,WQS-001,GIS-WQS-001,WQS-001,qualitySensor1,qualitySensor1.multi,Water_Quality,multi,DMA-01
PT-002,PIPE-002,GIS-PIPE-002,PIPE-002,pipe2,pipe2.pressure,Pressure,mH2O,DMA-02
FT-002,FM-002,GIS-FM-002,PIPE-012,pipe12,pipe12.flow,Flow,m3/hr,DMA-02
LT-002,RES-002,GIS-RES-002,RES-002,reservoir2,reservoir2.level,Reservoir_Level,m,DMA-02
PMP-002,PUMP-002,GIS-PUMP-002,PUMP-002,pump2,pump2.status,Pump_Status,status,DMA-02
VT-002,VALVE-002,GIS-VAL-002,VALVE-002,valve2,valve2.position,Valve_Status,status,DMA-02
QT-002,WQS-002,GIS-WQS-002,WQS-002,qualitySensor2,qualitySensor2.multi,Water_Quality,multi,DMA-02
PT-003,PIPE-003,GIS-PIPE-003,PIPE-003,pipe3,pipe3.pressure,Pressure,mH2O,DMA-03
FT-003,FM-003,GIS-FM-003,PIPE-013,pipe13,pipe13.flow,Flow,m3/hr,DMA-03
LT-003,RES-003,GIS-RES-003,RES-003,reservoir3,reservoir3.level,Reservoir_Level,m,DMA-03
PMP-003,PUMP-003,GIS-PUMP-003,PUMP-003,pump3,pump3.status,Pump_Status,status,DMA-03
VT-003,VALVE-003,GIS-VAL-003,VALVE-003,valve3,valve3.position,Valve_Status,status,DMA-03
QT-003,WQS-003,GIS-WQS-003,WQS-003,qualitySensor3,qualitySensor3.multi,Water_Quality,multi,DMA-03
PT-004,PIPE-004,GIS-PIPE-004,PIPE-004,pipe4,pipe4.pressure,Pressure,mH2O,DMA-04
FT-004,FM-004,GIS-FM-004,PIPE-014,pipe14,pipe14.flow,Flow,m3/hr,DMA-04
LT-004,RES-004,GIS-RES-004,RES-004,reservoir4,reservoir4.level,Reservoir_Level,m,DMA-04
PMP-004,PUMP-004,GIS-PUMP-004,PUMP-004,pump4,pump4.status,Pump_Status,status,DMA-04
VT-004,VALVE-004,GIS-VAL-004,VALVE-004,valve4,valve4.position,Valve_Status,status,DMA-04
QT-004,WQS-004,GIS-WQS-004,WQS-004,qualitySensor4,qualitySensor4.multi,Water_Quality,multi,DMA-04
PT-005,PIPE-005,GIS-PIPE-005,PIPE-005,pipe5,pipe5.pressure,Pressure,mH2O,DMA-05
FT-005,FM-005,GIS-FM-005,PIPE-015,pipe15,pipe15.flow,Flow,m3/hr,DMA-05
LT-005,RES-005,GIS-RES-005,RES-005,reservoir5,reservoir5.level,Reservoir_Level,m,DMA-05
PMP-005,PUMP-005,GIS-PUMP-005,PUMP-005,pump5,pump5.status,Pump_Status,status,DMA-05
VT-005,VALVE-005,GIS-VAL-005,VALVE-005,valve5,valve5.position,Valve_Status,status,DMA-05
QT-005,WQS-005,GIS-WQS-005,WQS-005,qualitySensor5,qualitySensor5.multi,Water_Quality,multi,DMA-05
PT-006,PIPE-006,GIS-PIPE-006,PIPE-006,pipe6,pipe6.pressure,Pressure,mH2O,DMA-06
FT-006,FM-006,GIS-FM-006,PIPE-016,pipe16,pipe16.flow,Flow,m3/hr,DMA-06
LT-006,RES-006,GIS-RES-006,RES-006,reservoir6,reservoir6.level,Reservoir_Level,m,DMA-06
PMP-006,PUMP-006,GIS-PUMP-006,PUMP-006,pump6,pump6.status,Pump_Status,status,DMA-06
VT-006,VALVE-006,GIS-VAL-006,VALVE-006,valve6,valve6.position,Valve_Status,status,DMA-06
QT-006,WQS-006,GIS-WQS-006,WQS-006,qualitySensor6,qualitySensor6.multi,Water_Quality,multi,DMA-06
