Date,Zone_ID,Zone_Name,Avg_Pressure_mH2O,Avg_Flow_m3_hr,Avg_Reservoir_Level_m,Pump_Uptime_pct,Valve_Open_pct,Active_Alerts,Critical_Alerts,Missing_Readings,Overall_Status
2026-05-27,DMA-01,Sonia Vihar North,32.15,848.79,5.4,100.0,100.0,0,0,0,Normal
2026-05-27,DMA-02,Sonia Vihar Central,28.95,929.47,5.6,100.0,100.0,0,0,0,Normal
2026-05-27,DMA-03,Bhagirathi Corridor,27.14,786.71,5.81,100.0,100.0,0,0,0,Normal
2026-05-27,DMA-04,Yamuna Bank Pocket,25.09,648.54,6.01,100.0,100.0,1,0,0,Warning
2026-05-27,DMA-05,Wazirabad Link,30.11,720.86,6.2,95.8,100.0,1,0,0,Warning
2026-05-27,DMA-06,Sangam Extension,30.86,687.88,6.42,100.0,100.0,0,0,0,Normal
2026-05-28,DMA-01,Sonia Vihar North,32.02,849.79,5.37,100.0,100.0,0,0,0,Normal
2026-05-28,DMA-02,Sonia Vihar Central,29.18,944.22,5.58,100.0,100.0,0,0,0,Normal
2026-05-28,DMA-03,Bhagirathi Corridor,26.94,786.62,5.83,100.0,100.0,0,0,0,Normal
2026-05-28,DMA-04,Yamuna Bank Pocket,24.68,653.11,5.99,100.0,100.0,5,0,0,Warning
2026-05-28,DMA-05,Wazirabad Link,29.84,725.66,6.19,100.0,100.0,0,0,0,Normal
2026-05-28,DMA-06,Sangam Extension,31.02,681.79,6.4,100.0,100.0,0,0,0,Normal
2026-05-29,DMA-01,Sonia Vihar North,32.21,850.57,5.38,100.0,100.0,0,0,0,Normal
2026-05-29,DMA-02,Sonia Vihar Central,28.86,921.54,5.59,100.0,100.0,0,0,0,Normal
2026-05-29,DMA-03,Bhagirathi Corridor,26.61,792.64,5.78,95.8,100.0,1,0,0,Warning
2026-05-29,DMA-04,Yamuna Bank Pocket,25.04,652.03,6.0,100.0,100.0,4,0,0,Warning
2026-05-29,DMA-05,Wazirabad Link,30.14,716.97,6.2,95.8,100.0,1,0,0,Warning
2026-05-29,DMA-06,Sangam Extension,30.68,679.36,6.4,100.0,100.0,0,0,0,Normal
2026-05-30,DMA-01,Sonia Vihar North,31.72,841.57,5.41,100.0,100.0,0,0,0,Normal
2026-05-30,DMA-02,Sonia Vihar Central,29.11,924.86,5.59,100.0,100.0,0,0,0,Normal
2026-05-30,DMA-03,Bhagirathi Corridor,26.97,772.31,5.77,100.0,100.0,0,0,0,Normal
2026-05-30,DMA-04,Yamuna Bank Pocket,24.95,646.97,6.0,100.0,100.0,4,0,0,Warning
2026-05-30,DMA-05,Wazirabad Link,29.79,712.1,6.18,100.0,100.0,0,0,0,Normal
2026-05-30,DMA-06,Sangam Extension,31.3,676.11,6.39,100.0,100.0,0,0,0,Normal
2026-05-31,DMA-01,Sonia Vihar North,32.15,838.02,5.39,100.0,100.0,0,0,0,Normal
2026-05-31,DMA-02,Sonia Vihar Central,29.43,932.24,5.6,100.0,100.0,0,0,0,Normal
2026-05-31,DMA-03,Bhagirathi Corridor,27.18,777.86,5.78,100.0,100.0,0,0,0,Normal
2026-05-31,DMA-04,Yamuna Bank Pocket,24.87,650.61,5.98,100.0,100.0,5,0,0,Warning
2026-05-31,DMA-05,Wazirabad Link,30.09,718.69,6.18,100.0,100.0,0,0,0,Normal
2026-05-31,DMA-06,Sangam Extension,31.03,678.25,6.41,100.0,100.0,0,0,0,Normal
2026-06-01,DMA-01,Sonia Vihar North,31.82,841.66,5.41,100.0,100.0,0,0,0,Normal
2026-06-01,DMA-02,Sonia Vihar Central,28.62,931.65,5.62,100.0,100.0,0,0,0,Normal
2026-06-01,DMA-03,Bhagirathi Corridor,27.05,776.92,5.79,100.0,100.0,0,0,0,Normal
2026-06-01,DMA-04,Yamuna Bank Pocket,24.87,655.24,6.01,100.0,100.0,6,0,0,Warning
2026-06-01,DMA-05,Wazirabad Link,29.9,712.3,6.17,100.0,100.0,0,0,0,Normal
2026-06-01,DMA-06,Sangam Extension,31.12,678.88,6.39,100.0,100.0,0,0,0,Normal
2026-06-02,DMA-01,Sonia Vihar North,32.28,850.82,5.42,100.0,100.0,0,0,0,Normal
2026-06-02,DMA-02,Sonia Vihar Central,28.87,929.18,5.62,100.0,100.0,0,0,0,Normal
2026-06-02,DMA-03,Bhagirathi Corridor,26.71,776.12,5.83,100.0,100.0,0,0,0,Normal
2026-06-02,DMA-04,Yamuna Bank Pocket,25.33,639.27,6.0,100.0,100.0,3,0,0,Warning
2026-06-02,DMA-05,Wazirabad Link,29.96,723.18,6.18,100.0,100.0,0,0,0,Normal
2026-06-02,DMA-06,Sangam Extension,31.01,677.27,6.39,100.0,100.0,0,0,0,Normal
2026-06-03,DMA-01,Sonia Vihar North,31.83,858.05,5.42,100.0,100.0,0,0,0,Normal
2026-06-03,DMA-02,Sonia Vihar Central,29.18,925.57,5.6,100.0,100.0,0,0,0,Normal
2026-06-03,DMA-03,Bhagirathi Corridor,26.94,781.69,5.8,100.0,100.0,0,0,0,Normal
2026-06-03,DMA-04,Yamuna Bank Pocket,24.68,645.09,6.0,100.0,100.0,6,0,0,Warning
2026-06-03,DMA-05,Wazirabad Link,30.18,720.46,6.2,100.0,100.0,0,0,0,Normal
